Iran|Southern and Central Asia|IRN|67702000|Amol|Mazandaran|159092
Mexico|Central America|MEX|98881000|Guadalupe|Nuevo León|668780
India|Southern and Central Asia|IND|1013662000|Patna|Bihar|917243
United Kingdom|British Islands|GBR|59623400|Liverpool|England|461000
United States|North America|USA|278357000|Washington|District of Columbia|572059
United Kingdom|British Islands|GBR|59623400|Sutton Coldfield|England|106001
Sao Tome and Principe|Central Africa|STP|147000|São Tomé|Aqua Grande|49541
New Zealand|Australia and New Zealand|NZL|3862000|Dunedin|Dunedin|119600
Argentina|South America|ARG|37032000|General San Martín|Buenos Aires|422542
China|Eastern Asia|CHN|1277558000|Jixi|Heilongjiang|683885
China|Eastern Asia|CHN|1277558000|Qianjiang|Hubei|205504
China|Eastern Asia|CHN|1277558000|Liu´an|Anhui|144248
United States|North America|USA|278357000|Elizabeth|New Jersey|120568
Saudi Arabia|Middle East|SAU|21607000|Hafar al-Batin|al-Sharqiya|137800
Tunisia|Northern Africa|TUN|9586000|Ariana|Ariana|197000
Russian Federation|Eastern Europe|RUS|146934000|Bratsk|Irkutsk|277600
Mexico|Central America|MEX|98881000|Guanajuato|Guanajuato|141215
Peru|South America|PER|25662000|Pucallpa|Ucayali|220866
Austria|Western Europe|AUT|8091800|Wien|Wien|1608144
China|Eastern Asia|CHN|1277558000|Hunjiang|Jilin|482043
Puerto Rico|Caribbean|PRI|3869000|Ponce|Ponce|186475
India|Southern and Central Asia|IND|1013662000|Jaunpur|Uttar Pradesh|136062
United States|North America|USA|278357000|Little Rock|Arkansas|183133
India|Southern and Central Asia|IND|1013662000|Silchar|Assam|115483
India|Southern and Central Asia|IND|1013662000|Adoni|Andhra Pradesh|136182
Italy|Southern Europe|ITA|57680000|Salerno|Campania|142055
Japan|Eastern Asia|JPN|126714000|Yokosuka|Kanagawa|430200
Sri Lanka|Southern and Central Asia|LKA|18827000|Colombo|Western|645000
South Korea|Eastern Asia|KOR|46844000|Kimje|Chollabuk|115427
Iran|Southern and Central Asia|IRN|67702000|Esfahan|Esfahan|1266072
Mexico|Central America|MEX|98881000|Tecomán|Colima|99296
Israel|Middle East|ISR|6217000|Rehovot|Ha Merkaz|90300
China|Eastern Asia|CHN|1277558000|Guangyuan|Sichuan|182241
Syria|Middle East|SYR|16125000|Damascus|Damascus|1347000
South Africa|Southern Africa|ZAF|40377000|Witbank|Mpumalanga|167183
United States|North America|USA|278357000|Odessa|Texas|89293
India|Southern and Central Asia|IND|1013662000|Gurgaon|Haryana|128608
Brazil|South America|BRA|170115000|Santa Maria|Rio Grande do Sul|238473
Brazil|South America|BRA|170115000|São José do Rio Preto|São Paulo|351944
India|Southern and Central Asia|IND|1013662000|Vidisha|Madhya Pradesh|92917
Spain|Southern Europe|ESP|39441700|Sevilla|Andalusia|701927
Japan|Eastern Asia|JPN|126714000|Tachikawa|Tokyo-to|159430
Argentina|South America|ARG|37032000|Tres de Febrero|Buenos Aires|352311
India|Southern and Central Asia|IND|1013662000|Vadodara (Baroda)|Gujarat|1031346
India|Southern and Central Asia|IND|1013662000|Ulhasnagar|Maharashtra|369077
United States|North America|USA|278357000|Carrollton|Texas|109576
Indonesia|Southeast Asia|IDN|212107000|Padang Sidempuan|Sumatera Utara|91200
Spain|Southern Europe|ESP|39441700|Barakaldo|Baskimaa|98212
India|Southern and Central Asia|IND|1013662000|Haldia|West Bengali|100347
United States|North America|USA|278357000|Akron|Ohio|217074
Germany|Western Europe|DEU|82164700|Paderborn|Nordrhein-Westfalen|137647
Japan|Eastern Asia|JPN|126714000|Yokkaichi|Mie|288173
Syria|Middle East|SYR|16125000|Hims|Hims|507404
Poland|Eastern Europe|POL|38653600|Katowice|Slaskie|345934
Japan|Eastern Asia|JPN|126714000|Kashiwa|Chiba|320296
New Zealand|Australia and New Zealand|NZL|3862000|Wellington|Wellington|166700
Japan|Eastern Asia|JPN|126714000|Kashiwazaki|Niigata|91229
Palestine|Middle East|PSE|3101000|Hebron|Hebron|119401
Russian Federation|Eastern Europe|RUS|146934000|Nizni Tagil|Sverdlovsk|390900
Mexico|Central America|MEX|98881000|Monclova|Coahuila de Zaragoza|193657
Russian Federation|Eastern Europe|RUS|146934000|Mezduretšensk|Kemerovo|104400
Morocco|Northern Africa|MAR|28351000|El Araich|Tanger-Tétouan|90400
United Kingdom|British Islands|GBR|59623400|Blackpool|England|151000
Argentina|South America|ARG|37032000|Las Heras|Mendoza|145823
India|Southern and Central Asia|IND|1013662000|Secunderabad|Andhra Pradesh|167461
Denmark|Nordic Countries|DNK|5330000|Aalborg|Nordjylland|161161
Egypt|Northern Africa|EGY|68470000|Shubra al-Khayma|al-Qalyubiya|870716
China|Eastern Asia|CHN|1277558000|Jiangmen|Guangdong|230587
Mexico|Central America|MEX|98881000|Pachuca de Soto|Hidalgo|244688
Russian Federation|Eastern Europe|RUS|146934000|Rybinsk|Jaroslavl|239600
India|Southern and Central Asia|IND|1013662000|Unnao|Uttar Pradesh|107425
Mozambique|Eastern Africa|MOZ|19680000|Matola|Maputo|424662
South Korea|Eastern Asia|KOR|46844000|Taejon|Taejon|1425835
Morocco|Northern Africa|MAR|28351000|Beni-Mellal|Tadla-Azilal|140212
Colombia|South America|COL|42321000|Palmira|Valle|226509
Ecuador|South America|ECU|12646000|Portoviejo|Manabí|176413
Colombia|South America|COL|42321000|Ibagué|Tolima|393664
Russian Federation|Eastern Europe|RUS|146934000|Usolje-Sibirskoje|Irkutsk|103500
Japan|Eastern Asia|JPN|126714000|Kochi|Kochi|324710
Russian Federation|Eastern Europe|RUS|146934000|Tšerkessk|Karatšai-Tšerkessia|121700
India|Southern and Central Asia|IND|1013662000|Bikaner|Rajasthan|416289
Indonesia|Southeast Asia|IDN|212107000|Bengkulu|Bengkulu|146439
Japan|Eastern Asia|JPN|126714000|Chofu|Tokyo-to|201585
Oman|Middle East|OMN|2542000|Bawshar|Masqat|107500
Nigeria|Western Africa|NGA|111506000|Ikare|Ondo & Ekiti|140800
Russian Federation|Eastern Europe|RUS|146934000|Krasnojarsk|Krasnojarsk|875500
Canada|North America|CAN|31147000|York|Ontario|154980
South Africa|Southern Africa|ZAF|40377000|Benoni|Gauteng|365467
Cuba|Caribbean|CUB|11201000|Santa Clara|Villa Clara|207350
Brazil|South America|BRA|170115000|Divinópolis|Minas Gerais|185047
Japan|Eastern Asia|JPN|126714000|Ota|Gumma|145317
Brazil|South America|BRA|170115000|Barra do Piraí|Rio de Janeiro|89388
Indonesia|Southeast Asia|IDN|212107000|Probolinggo|East Java|120770
Brazil|South America|BRA|170115000|São Lourenço da Mata|Pernambuco|91999
Tunisia|Northern Africa|TUN|9586000|Gabès|Gabès|106600
Kuwait|Middle East|KWT|1972000|al-Salimiya|Hawalli|130215
Brazil|South America|BRA|170115000|Imperatriz|Maranhão|224564
China|Eastern Asia|CHN|1277558000|Tongling|Anhui|228017
Argentina|South America|ARG|37032000|San Miguel de Tucumán|Tucumán|470809
Brazil|South America|BRA|170115000|Feira de Santana|Bahia|479992
Mexico|Central America|MEX|98881000|San Martín Texmelucan|Puebla|121093
Iran|Southern and Central Asia|IRN|67702000|Bojnurd|Khorasan|134835
Germany|Western Europe|DEU|82164700|Remscheid|Nordrhein-Westfalen|120125
Philippines|Southeast Asia|PHL|75967000|San Mateo|Southern Tagalog|135603
Georgia|Middle East|GEO|4968000|Sohumi|Abhasia [Aphazeti]|111700
United States|North America|USA|278357000|Rockford|Illinois|150115
United States|North America|USA|278357000|Winston-Salem|North Carolina|185776
Mauritania|Western Africa|MRT|2670000|Nouakchott|Nouakchott|667300
Taiwan|Eastern Asia|TWN|22256000|Kangshan|Kaohsiung|92200
Vietnam|Southeast Asia|VNM|79832000|Can Tho|Can Tho|215587
Spain|Southern Europe|ESP|39441700|A Coruña (La Coruña)|Galicia|243402
Brazil|South America|BRA|170115000|Santa Bárbara d´Oeste|São Paulo|171657
Argentina|South America|ARG|37032000|Salta|Salta|367550
Saudi Arabia|Middle East|SAU|21607000|Ara´ar|al-Khudud al-Samaliy|108100
Netherlands|Western Europe|NLD|15864000|Rotterdam|Zuid-Holland|593321
China|Eastern Asia|CHN|1277558000|Baicheng|Jilin|217987
United States|North America|USA|278357000|Stamford|Connecticut|117083
Sudan|Northern Africa|SDN|29490000|Port Sudan|al-Bahr al-Ahmar|308195
Colombia|South America|COL|42321000|Maicao|La Guajira|108053
Pakistan|Southern and Central Asia|PAK|156483000|Faisalabad|Punjab|1977246
Romania|Eastern Europe|ROM|22455500|Botosani|Botosani|128730
Turkey|Middle East|TUR|66591000|Gaziantep|Gaziantep|789056
Netherlands|Western Europe|NLD|15864000|Apeldoorn|Gelderland|153491
Brazil|South America|BRA|170115000|Santana do Livramento|Rio Grande do Sul|91779
Turkey|Middle East|TUR|66591000|Batman|Batman|203793
Mauritania|Western Africa|MRT|2670000|Nouâdhibou|Dakhlet Nouâdhibou|97600
Mexico|Central America|MEX|98881000|Santiago Ixcuintla|Nayarit|95311
Algeria|Northern Africa|DZA|31471000|Béchar|Béchar|107311
India|Southern and Central Asia|IND|1013662000|Amravati|Maharashtra|421576
South Korea|Eastern Asia|KOR|46844000|Chinju|Kyongsangnam|329886
Brazil|South America|BRA|170115000|Votorantim|São Paulo|91777
Tanzania|Eastern Africa|TZA|33517000|Morogoro|Morogoro|117800
United States|North America|USA|278357000|Lowell|Massachusetts|105167
China|Eastern Asia|CHN|1277558000|Jinmen|Hubei|160794
Romania|Eastern Europe|ROM|22455500|Bucuresti|Bukarest|2016131
Sweden|Nordic Countries|SWE|8861400|Norrköping|East Götanmaan län|122199
Ethiopia|Eastern Africa|ETH|62565000|Gonder|Amhara|112249
Taiwan|Eastern Asia|TWN|22256000|Changhwa|Changhwa|227715
Russian Federation|Eastern Europe|RUS|146934000|Jelets|Lipetsk|119400
Angola|Central Africa|AGO|12878000|Namibe|Namibe|118200
Germany|Western Europe|DEU|82164700|Moers|Nordrhein-Westfalen|106837
India|Southern and Central Asia|IND|1013662000|Eluru|Andhra Pradesh|212866
India|Southern and Central Asia|IND|1013662000|Banda|Uttar Pradesh|97227
Russian Federation|Eastern Europe|RUS|146934000|Jessentuki|Stavropol|97900
Pakistan|Southern and Central Asia|PAK|156483000|Quetta|Baluchistan|560307
Turkey|Middle East|TUR|66591000|Adiyaman|Adiyaman|141529
Venezuela|South America|VEN|24170000|Baruta|Miranda|207290
Brazil|South America|BRA|170115000|Passo Fundo|Rio Grande do Sul|166343
Cook Islands|Polynesia|COK|20000|Avarua|Rarotonga|11900
Nigeria|Western Africa|NGA|111506000|Oshogbo|Oyo & Osun|476800
Spain|Southern Europe|ESP|39441700|Leganés|Madrid|173163
Brazil|South America|BRA|170115000|Joinville|Santa Catarina|428011
Philippines|Southeast Asia|PHL|75967000|Quezon|National Capital Reg|2173831
Malaysia|Southeast Asia|MYS|22244000|Kota Bharu|Kelantan|219582
Iran|Southern and Central Asia|IRN|67702000|Malayer|Hamadan|144373
China|Eastern Asia|CHN|1277558000|Binzhou|Shandong|133555
Argentina|South America|ARG|37032000|Almirante Brown|Buenos Aires|538918
Iran|Southern and Central Asia|IRN|67702000|Maragheh|East Azerbaidzan|132318
South Korea|Eastern Asia|KOR|46844000|Naju|Chollanam|107831
Indonesia|Southeast Asia|IDN|212107000|Waru|East Java|124300
China|Eastern Asia|CHN|1277558000|Tongchuan|Shaanxi|280657
Bangladesh|Southern and Central Asia|BGD|129155000|Sylhet|Sylhet|117396
Brazil|South America|BRA|170115000|Cariacica|Espírito Santo|319033
India|Southern and Central Asia|IND|1013662000|Dhule (Dhulia)|Maharashtra|278317
China|Eastern Asia|CHN|1277558000|Tai´an|Shandong|350696
Philippines|Southeast Asia|PHL|75967000|Sariaya|Southern Tagalog|114568
Russian Federation|Eastern Europe|RUS|146934000|Kostroma|Kostroma|288100
Malaysia|Southeast Asia|MYS|22244000|Ipoh|Perak|382853
Spain|Southern Europe|ESP|39441700|Mataró|Katalonia|104095
Turkey|Middle East|TUR|66591000|Zonguldak|Zonguldak|111542
Japan|Eastern Asia|JPN|126714000|Kushiro|Hokkaido|197608
China|Eastern Asia|CHN|1277558000|Shaoguan|Guangdong|350043
Peru|South America|PER|25662000|Castilla|Piura|90642
Mexico|Central America|MEX|98881000|El Mante|Tamaulipas|112453
Cuba|Caribbean|CUB|11201000|Guantánamo|Guantánamo|205078
Saudi Arabia|Middle East|SAU|21607000|Unayza|Qasim|91100
Mexico|Central America|MEX|98881000|Guadalajara|Jalisco|1647720
Iran|Southern and Central Asia|IRN|67702000|Sari|Mazandaran|195882
Brazil|South America|BRA|170115000|Santa Luzia|Minas Gerais|164704
South Korea|Eastern Asia|KOR|46844000|Yongchon|Kyongsangbuk|113511
Cuba|Caribbean|CUB|11201000|La Habana|La Habana|2256000
United States|North America|USA|278357000|San Diego|California|1223400
Brazil|South America|BRA|170115000|Santa Rita|Paraíba|113135
Indonesia|Southeast Asia|IDN|212107000|Banda Aceh|Aceh|143409
Russian Federation|Eastern Europe|RUS|146934000|Bugulma|Tatarstan|94100
India|Southern and Central Asia|IND|1013662000|Hardwar (Haridwar)|Uttaranchal|147305
Mali|Western Africa|MLI|11234000|Bamako|Bamako|809552
Mexico|Central America|MEX|98881000|Chilpancingo de los Bravo|Guerrero|192509
Cuba|Caribbean|CUB|11201000|Matanzas|Matanzas|123273
China|Eastern Asia|CHN|1277558000|Wanxian|Sichuan|156823
Egypt|Northern Africa|EGY|68470000|Shibin al-Kawm|al-Minufiya|159909
Venezuela|South America|VEN|24170000|Valle de la Pascua|Guárico|95927
Spain|Southern Europe|ESP|39441700|Jerez de la Frontera|Andalusia|182660
India|Southern and Central Asia|IND|1013662000|Mango|Jharkhand|110024
Canada|North America|CAN|31147000|Windsor|Ontario|207588
Malaysia|Southeast Asia|MYS|22244000|Seremban|Negeri Sembilan|182869
India|Southern and Central Asia|IND|1013662000|Surendranagar|Gujarat|105973
Belarus|Eastern Europe|BLR|10236000|Grodno|Grodno|302000
Brazil|South America|BRA|170115000|Maringá|Paraná|286461
Brazil|South America|BRA|170115000|Jacobina|Bahia|96131
Peru|South America|PER|25662000|Sullana|Piura|147361
Indonesia|Southeast Asia|IDN|212107000|Batam|Riau|91871
South Korea|Eastern Asia|KOR|46844000|Koje|Kyongsangnam|147562
Germany|Western Europe|DEU|82164700|Lübeck|Schleswig-Holstein|213326
China|Eastern Asia|CHN|1277558000|Zalantun|Inner Mongolia|130031
Brazil|South America|BRA|170115000|Itapecerica da Serra|São Paulo|126672
India|Southern and Central Asia|IND|1013662000|Nanded (Nander)|Maharashtra|275083
Venezuela|South America|VEN|24170000|Calabozo|Guárico|107146
Tanzania|Eastern Africa|TZA|33517000|Mwanza|Mwanza|172300
Mexico|Central America|MEX|98881000|Tlajomulco de Zúñiga|Jalisco|123220
Chile|South America|CHL|15211000|Melipilla|Santiago|91056
Zambia|Eastern Africa|ZMB|9169000|Kitwe|Copperbelt|288600
Egypt|Northern Africa|EGY|68470000|Banha|al-Qalyubiya|145792
Mexico|Central America|MEX|98881000|Othón P. Blanco (Chetumal)|Quintana Roo|208014
Dominican Republic|Caribbean|DOM|8495000|San Francisco de Macorís|Duarte|108485
Netherlands|Western Europe|NLD|15864000|Zoetermeer|Zuid-Holland|110214
China|Eastern Asia|CHN|1277558000|Changzhi|Shanxi|317144
United States|North America|USA|278357000|Saint Paul|Minnesota|287151
Belarus|Eastern Europe|BLR|10236000|Mozyr|Gomel|110000
Philippines|Southeast Asia|PHL|75967000|Zamboanga|Western Mindanao|601794
China|Eastern Asia|CHN|1277558000|Yinchuan|Ningxia|544500
Indonesia|Southeast Asia|IDN|212107000|Yogyakarta|Yogyakarta|418944
Panama|Central America|PAN|2856000|San Miguelito|San Miguelito|315382
United Kingdom|British Islands|GBR|59623400|Douglas|–|23487
Jordan|Middle East|JOR|5083000|Irbid|Irbid|231511
Mexico|Central America|MEX|98881000|Fresnillo|Zacatecas|182744
China|Eastern Asia|CHN|1277558000|Haicheng|Liaoning|205560
United States|North America|USA|278357000|Macon|Georgia|113336
Pakistan|Southern and Central Asia|PAK|156483000|Chiniot|Punjab|169300
China|Eastern Asia|CHN|1277558000|Wendeng|Shandong|133910
Ghana|Western Africa|GHA|20212000|Sekondi-Takoradi|Western|103653
Philippines|Southeast Asia|PHL|75967000|Baliuag|Central Luzon|119675
China|Eastern Asia|CHN|1277558000|Benxi|Liaoning|770000
Nigeria|Western Africa|NGA|111506000|Iseyin|Oyo & Osun|217300
Japan|Eastern Asia|JPN|126714000|Tottori|Tottori|147523
Kazakstan|Southern and Central Asia|KAZ|16223000|Semey|East Kazakstan|269600
India|Southern and Central Asia|IND|1013662000|Calicut (Kozhikode)|Kerala|419831
United Kingdom|British Islands|GBR|59623400|Grimsby|England|89000
China|Eastern Asia|CHN|1277558000|Dalian|Liaoning|2697000
